DocumentCopy48: 0xf382
Color24: 0xf2f6
DocumentDismiss24: 0xf384
DocumentEdit16: 0xf385
DocumentEdit20: 0xf386
DocumentEdit24: 0xf387
DocumentDismiss20: 0xf383
DocumentEndnote24: 0xf389
DocumentError16: 0xf38a
DocumentError20: 0xf38b
DocumentError24: 0xf38c
DocumentFooter24: 0xf38d
DocumentHeader24: 0xf38f
DocumentFooterRemove24: 0xf38e
DocumentHeaderFooter20: 0xf390
DocumentHeaderRemove24: 0xf392
Document20: 0xf378
DocumentLandscape20: 0xf393
DocumentLandscape24: 0xf394
DocumentMargins20: 0xf395
DocumentMargins24: 0xf396
DocumentOnePage20: 0xf399
DocumentOnePage24: 0xf39a
DocumentPageBottomCenter20: 0xf39c
DocumentPageBottomCenter24: 0xf39d
DocumentPageBottomLeft20: 0xf39e
DocumentPageBottomLeft24: 0xf39f
DocumentPageBottomRight20: 0xf3a0
DocumentPageBottomRight24: 0xf3a1
DocumentPageBreak24: 0xf3a2
DocumentPageNumber20: 0xf3a3
DocumentPageNumber24: 0xf3a4
DocumentPageTopCenter20: 0xf3a5
DocumentPageTopCenter24: 0xf3a6
DocumentPageTopLeft20: 0xf3a7
DocumentPageTopLeft24: 0xf3a8
DocumentPageTopRight20: 0xf3a9
DocumentPageTopRight24: 0xf3aa
DocumentPdf16: 0xf3ab
DocumentPdf20: 0xf3ac
DocumentPdf24: 0xf3ad
DocumentSearch20: 0xf3ae
DocumentSearch24: 0xf3af
DocumentToolbox20: 0xf3b0
DocumentToolbox24: 0xf3b1
DocumentWidth20: 0xf3b8
DocumentWidth24: 0xf3b9
DoubleSwipeDown24: 0xf3ba
DoubleSwipeUp24: 0xf3bb
Drafts16: 0xf3be
Drafts20: 0xf3bf
Drafts24: 0xf3c0
Drag24: 0xf3c1
DrinkBeer24: 0xf3c3
DrinkCoffee24: 0xf3c5
DrinkCoffee20: 0xf3c4
DrinkMargarita24: 0xf3c6
DrinkWine24: 0xf3c7
Desktop28: 0xf35b
DualScreenAdd24: 0xf3c9
DualScreenArrowRight24: 0xf3ca
DualScreenClock24: 0xf3cb
DualScreenDesktop24: 0xf3cc
DualScreenGroup24: 0xf3ce
DualScreenLock24: 0xf3cf
DualScreenMirror24: 0xf3d0
DualScreenPagination24: 0xf3d1
DualScreenSettings24: 0xf3d2
DualScreenStatusBar24: 0xf3d3
DualScreenTablet24: 0xf3d4
DualScreenUpdate24: 0xf3d5
DualScreenVerticalScroll24: 0xf3d6
DualScreenVibrate24: 0xf3d7
Earth16: 0xf3d8
Earth20: 0xf3d9
Earth24: 0xf3da
Edit16: 0xf3db
Edit20: 0xf3dc
Edit24: 0xf3dd
Emoji16: 0xf3de
Emoji20: 0xf3df
Emoji24: 0xf3e0
EmojiAdd24: 0xf3e1
EmojiAngry20: 0xf3e2
EmojiAngry24: 0xf3e3
EmojiLaugh20: 0xf3e4
EmojiMeh20: 0xf3e6
EmojiLaugh24: 0xf3e5
EmojiMeh24: 0xf3e7
EmojiSad20: 0xf3e8
EmojiSad24: 0xf3e9
EmojiSurprise20: 0xf3ea
EmojiSurprise24: 0xf3eb
EraserTool24: 0xf3ee
ErrorCircle16: 0xf3ef
ErrorCircle20: 0xf3f0
ErrorCircle24: 0xf3f1
ExtendedDock24: 0xf3f3
Extension20: 0xf3f4
Extension24: 0xf3f5
EyeHide20: 0xf3f6
EyeHide24: 0xf3f7
EyeShow12: 0xf3f8
EyeShow16: 0xf3f9
EyeShow20: 0xf3fa
EyeShow24: 0xf3fb
FastAcceleration24: 0xf3fc
FastForward20: 0xf3fd
FastForward24: 0xf3fe
Filter20: 0xf405
Filter24: 0xf406
Filter28: 0xf407
Fingerprint24: 0xf408
Flag16: 0xf409
Flag20: 0xf40a
Flag24: 0xf40b
Flag28: 0xf40c
Flag48: 0xf40d
FlagOff24: 0xf40e
FlagOff28: 0xf40f
FlagOff48: 0xf410
FlagPride16: 0xf411
FlagPride20: 0xf412
FlagPride24: 0xf413
FlagPride28: 0xf414
FlagPride48: 0xf415
FlashAuto24: 0xf416
FlashOff24: 0xf417
FlashOn20: 0xf418
FlashOn24: 0xf419
Flashlight24: 0xf41a
